Country,Year,Yield_kg_per_ha
France,2020,6677.6
France,2021,6928.4
France,2022,6996.7
Germany,2020,7819.5
Germany,2021,7301.5
Germany,2022,7577.3
Italy,2020,3924.8
Italy,2021,4224.8
Italy,2022,3720.0
Poland,2020,5234.2
Poland,2021,4975.3
Poland,2022,5239.4
Spain,2020,4253.2
Spain,2021,4023.8
Spain,2022,2995.7
